"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"URXDPY","diethylaminomethylpyrimidinol/one (ug/L)","LBXGLU",0.0168640589073398,0.0156565566300514,0.317139106114261,0.582650915884341
"URXMET","Metolachlor mercapturate (ug/L) result","LBXGLU",-0.00469532615415862,0.0150198299860297,0.763685304853706,0.893794653088041
"URXTCC","dichlorovnl-dimeth prop carboacid (ug/L)","LBXGLU",-0.00515080096382385,0.024875527170746,0.837955302655923,0.952495955536949
"LBXSPH","Phosphorus (mg/dL)","LBXGLU",0.0318390639575431,0.0222172277878547,0.166555572576746,0.424448072050417
"URXDAZ","Daidzein (ng/mL)","LBXGLU",0.0411961217013356,0.0269258332832112,0.140945560556342,0.392550029998947
"URXDMA","o-Desmethylangolensin (O-DMA) (ng/mL)","LBXGLU",0.0322656339787646,0.0267580776681126,0.241294895485759,0.504886100041028
"URXEQU","Equol (ng/mL)","LBXGLU",0.0162094052858153,0.0165554815316535,0.338678182212425,0.608081281699581
"URXETD","Enterodiol (ng/mL)","LBXGLU",0.0154797163042205,0.0267489656955558,0.56894485505002,0.76180751777884
"URXETL","Enterolactone (ng/mL)","LBXGLU",0.00851987859429566,0.0198647641151294,0.672367989523163,0.833581170280486
"URXGNS","Genistein (ng/mL)","LBXGLU",0.0118125633616727,0.0169426395220916,0.493318983210614,0.718628231519353
