"Exposure ID","Exposure Name","Phenotype Name","Estimate","Standard Error","P-value","FDR"
"URXMHH","Mono-(2-ethyl-5-hydroxyhexyl) phthalate","BMXBMI",0.0794484570121081,0.0166450669627539,0.00202843636522598,0.00759484313491587
"URXMOH","Mono-(2-ethyl-5-oxohexl) phthalate","BMXBMI",0.0779807215294099,0.0190310961999507,0.00458720142489393,0.0150722332532229
"URXMIB","Mono-isobutyl phthalate","BMXBMI",0.0276630811373576,0.0186111365830648,0.180770344402747,0.274578722258662
"LBX028","PCB28 (ng/g)","BMXBMI",0.0921303225818352,0.0370013036958759,0.0471672710565986,0.0937522301248442
"LBX066","PCB66 (ng/g)","BMXBMI",0.0421273860694909,0.0193013227945667,0.0405630042191341,0.0848135542763713
"LBX074","PCB74 (ng/g)","BMXBMI",0.0810941574549862,0.0270274279768796,0.00681498015360901,0.0195930679416259
"LBX105","PCB105 (ng/g)","BMXBMI",0.0564296108852964,0.0217818462478632,0.0170608060338537,0.0391295225754618
"LBX118","PCB118 (ng/g)","BMXBMI",0.111736135212838,0.0232467190654325,9.47627657320288e-05,0.000492155009124408
"LBX156","PCB156 (ng/g)","BMXBMI",-0.121843894047163,0.0197157499834569,3.93929721309684e-06,2.88284932412996e-05
"LBX157","PCB157 (ng/g)","BMXBMI",0.01179758106671,0.0261902419843646,0.656997038812598,0.764363824985115
"LBX167","PCB167 (ng/g)","BMXBMI",-0.000716959704960268,0.025850313918557,0.97813535463528,0.97813535463528
"LBX189","PCB189 (ng/g)","BMXBMI",0.0111338457090743,0.0178571670493133,0.552725364927934,0.680354618490289
"LBXD01","1,2,3,7,8-pncdd (fg/g)","BMXBMI",-0.0191321328270138,0.0216757805932403,0.387417715373164,0.511264362090815
"LBXD02","1,2,3,4,7,8-hxcdd (fg/g)","BMXBMI",0.069050994826438,0.0443212254136158,0.163200602490924,0.264634659965436
"LBXD03","1,2,3,6,7,8-hxcdd (fg/g)","BMXBMI",0.0575679267392877,0.0190716827461855,0.00653916208898899,0.0194963906727264
"LBXD04","1,2,3,7,8,9-hxcdd (fg/g)","BMXBMI",0.0529443653838145,0.0192637694908902,0.0120420104963755,0.0293752074229765
"LBXD05","1,2,3,4,6,7,8-hpcdd (fg/g)","BMXBMI",0.158950541031149,0.0270512171871533,7.83494682921878e-06,5.48446278045315e-05
"LBXD07","1,2,3,4,6,7,8,9-ocdd (fg/g)","BMXBMI",0.131524213603797,0.0298621690464213,0.000247070551497214,0.00116995172914857
"LBXF01","2,3,7,8-tcdf (fg/g)","BMXBMI",0.0260599109214733,0.0250703082825029,0.310405628582026,0.438379878962335
"LBXF02","1,2,3,7,8-pncdf (fg/g)","BMXBMI",0.0135366903099067,0.0217046583678766,0.539555931189904,0.678660194699801
"LBXF03","2,3,4,7,8-pncdf (fg/g)","BMXBMI",-0.0127411631438154,0.0206668717159771,0.54418943963254,0.679182168843712
"LBXF04","1,2,3,4,7,8-hxcdf (fg/g)","BMXBMI",0.134020646231051,0.0184040524653181,3.59302607101844e-07,5.25888361303608e-06
"LBXF05","1,2,3,6,7,8-hxcdf (fg/g)","BMXBMI",0.0448155895392276,0.0185499907753732,0.0248887257577236,0.054149795229642
"LBXF06","1,2,3,7,8,9-hxcdf (fg/g)","BMXBMI",0.0307994922823506,0.0194279132794691,0.127837546256471,0.221310160723568
"LBXF07","2,3,4,6,7,8-hxcdf (fg/g)","BMXBMI",0.0250245047324294,0.0161152821489673,0.135402199897554,0.231912278547938
